X	Y	
8,794794476	13,47537723	107
10,52524287	8,416663576	89
10,55669513	12,32966445	98
9,918049139	9,111584577	88
11,98722977	12,97754591	85
11,84494385	9,035965471	34
8,103526302	9,741547872	104
9,086617655	7,975982221	59
10,80158629	10,97915032	80
30,80123852	23,39823419	70
28,54028369	29,64242087	46
29,12832181	23,85815832	72
31,30086178	33,83881754	32
24,12151992	28,16252914	78
29,09080037	28,53572097	76
26,67835384	30,99083846	19
24,89073137	27,46793628	64
30,80282528	35,02554908	45
30,6077067	33,20562476	13
26,68225901	31,74773292	25
25,33902723	31,81920783	26
32,98382623	34,71592243	84
33,39221737	30,15860675	20
29,41167518	28,61350039	111
29,27624365	27,63528651	100
33,65308079	29,66012557	45
28,3483851	33,06802187	49
31,79902743	32,60973834	54
25,69971175	32,80237326	73
33,38063311	32,56012714	92
29,04409296	22,37564776	84
32,58573365	31,99120018	107
27,65666745	29,84582724	105
33,86073232	34,42937522	62
27,40685923	29,3197398	91
28,19642036	28,63704225	63
27,55119586	29,71389121	20
31,73008327	26,31520108	87
36,02256112	30,05174607	105
34,70364395	31,60907573	75
33,38113191	31,87709672	75
26,85073676	27,67626853	96
27,86738272	30,98700664	61
33,25067508	26,25847629	33
30,55057104	27,73869481	104
32,77606478	28,75208222	29
24,58692469	36,38102325	57
32,20240201	32,72341175	37
29,00060893	28,90300263	60
30,24385191	29,12179645	97
30,13617611	27,6137006	34
28,18966441	28,11682868	10
24,36506649	33,78332401	76
28,98422394	29,20537452	47
33,16083257	25,7705879	74
31,89330968	30,20135126	90
31,11643255	35,52808417	101
29,67528043	30,8180237	49
34,7722265	27,73905265	58
30,37402535	33,04801704	54
28,15097805	27,88461032	101
23,86450568	31,18800246	106
32,70208378	29,99232917	85
27,47068919	34,40542808	35
31,70705073	31,44874675	21
28,86898674	24,53957999	12
29,47200153	28,70495813	30
29,75032819	30,66326009	115
27,44706964	29,49336525	80
30,09951355	24,40490464	116
30,37366718	33,46957979	59
30,91558061	32,47432898	42
27,00767995	27,41565896	78
32,99633561	29,86427243	32
27,93270232	35,04172985	88
30,22854507	31,16702343	91
36,77710351	28,49204805	12
35,15514252	28,98678891	90
32,17197213	30,60622448	120
21,71872376	29,40200742	108
28,80778039	33,03720451	50
27,38651019	31,60268261	103
33,19004693	33,34741731	59
32,49237555	30,81910973	21
34,42159653	33,47291537	108
32,34740949	30,65658548	23
29,20614213	30,85683585	35
27,71364779	34,42949779	108
26,79819418	27,8121934	23
31,29356662	27,4689139	37
27,51774142	33,73290241	21
31,84098027	21,07662741	80
30,30903025	32,14289413	95
31,56926108	32,18201306	86
30,04321341	29,64442248	87
31,10590656	32,79534425	93
29,54905767	23,52537437	54
29,22369433	32,05245398	38
28,91013395	32,99401743	83
27,1094701	34,75896198	69
25,19866066	34,55126346	38
30,10854924	29,00783246	65
35,28357615	28,25506005	94
25,506371	22,48189962	107
27,75842645	37,6546481	15
31,24559805	30,17391505	74
31,81655165	31,92961069	96
28,07127614	32,49025489	83
30,19124543	32,01053449	84
24,3238082	25,90426379	79
34,03992538	31,11788579	51
27,83594057	35,08707999	81
32,7391278	30,3503417	27
28,43938139	28,54543617	110
34,81805335	36,06821885	90
28,62390444	30,10013115	45
32,22067796	34,68203006	88
24,18161148	28,0612832	65
24,70274906	28,37027866	11
33,48513237	31,22455547	83
30,42996934	26,56243894	75
30,31266732	31,21749259	64
31,76488324	30,82841113	33
28,34041091	28,39664131	115
23,33645356	27,3957659	67
28,36111095	30,25613147	10
30,70138701	28,86642382	88
28,81911074	33,63499879	71
28,13209293	30,57980378	24
31,58908994	25,47021222	86
29,10353896	28,57565861	28
25,22309137	30,84158735	19
27,3373366	30,23090822	85
30,9588574	29,71950526	10
27,48562812	27,39174265	37
30,44941282	37,03341585	60
29,01023416	34,00488309	57
28,85201624	30,57966188	55
25,76037351	35,34662965	52
25,60976402	35,80490154	75
35,43740798	28,64865841	111
30,10261816	34,20354836	31
28,07474168	27,35568561	23
30,51838902	29,63284458	13
29,85066331	26,3274296	56
36,54284737	35,8335754	24
33,52536263	31,51249721	66
27,99363788	30,63898227	65
29,63078559	29,5021557	47
28,59126601	28,23486904	37
35,91201241	32,95909052	26
31,96656717	30,12897822	58
33,71218381	28,44414964	106
31,71048728	26,40481479	68
26,80541334	27,53720718	106
25,23908677	29,25260562	70
27,54533079	23,49821186	14
25,68019682	27,99734428	34
29,47202087	28,17169542	108
